"","X","product.id","product.category","product.name","product.price","product.discount"
"112",112,"AB-112","Auto & Accessories","Car & Bike Care",39,0.01
"113",113,"PZ-113","Auto & Accessories","Tyre",50,0.01
"114",114,"CP-114","Auto & Accessories","Bike Tyres",36,0.03
"115",115,"OL-115","Auto & Accessories","Car Mat",13,0.02
"116",116,"PQ-116","Auto & Accessories","Car Seat Covers",22,0.05
"117",117,"AP-117","Auto & Accessories","Car Pillow & Neck Rest",57,0.02
"118",118,"RS-118","Auto & Accessories","Car Media Players",140,0.04
"119",119,"CP-119","Auto & Accessories","Car Speakers",70,0.04
"120",120,"CP-120","Auto & Accessories","Car Body Covers",23,0.01
"121",121,"XP-121","Auto & Accessories","Car & Bike Care",23,0.03
"122",122,"XP-122","Auto & Accessories","Tyre",62,0.05
"123",123,"OL-123","Auto & Accessories","Bike Tyres",18,0.03
"124",124,"XP-124","Auto & Accessories","Car Mat",54,0.01
"125",125,"PQ-125","Auto & Accessories","Car Seat Covers",38,0.02
"126",126,"XP-126","Auto & Accessories","Car Pillow & Neck Rest",231,0.01
"127",127,"PQ-127","Auto & Accessories","Car Media Players",140,0.01
"128",128,"AP-128","Auto & Accessories","Car Speakers",70,0.01
"129",129,"CP-129","Auto & Accessories","Car Body Covers",23,0.04
"130",130,"CP-130","Auto & Accessories","Car & Bike Care",23,0.02
"131",131,"PQ-131","Auto & Accessories","Tyre",83,0.02
"132",132,"AP-132","Auto & Accessories","Bike Tyres",14,0.05
"133",133,"AP-133","Auto & Accessories","Car Mat",54,0.02
"134",134,"AP-134","Auto & Accessories","Car Seat Covers",22,0.05
"135",135,"AP-135","Auto & Accessories","Car Pillow & Neck Rest",115,0.02
"136",136,"CP-136","Auto & Accessories","Car Media Players",140,0.03
"137",137,"RS-137","Auto & Accessories","Car Speakers",52,0.02
"138",138,"AP-138","Auto & Accessories","Car Body Covers",23,0.04
"139",139,"PQ-139","Auto & Accessories","Car & Bike Care",23,0.04
"140",140,"RS-140","Auto & Accessories","Tyre",62,0.05
"141",141,"OL-141","Auto & Accessories","Bike Tyres",14,0.05
"142",142,"RS-142","Auto & Accessories","Car Mat",10,0.03
"143",143,"PZ-143","Auto & Accessories","Car Seat Covers",28,0.05
"144",144,"AP-144","Auto & Accessories","Car Pillow & Neck Rest",231,0.05
"145",145,"AP-145","Auto & Accessories","Car Media Players",28,0.01
"146",146,"XP-146","Auto & Accessories","Car Speakers",42,0.04
"147",147,"XP-147","Auto & Accessories","Car Body Covers",117,0.02
"148",148,"RS-148","Auto & Accessories","Car & Bike Care",23,0.05
"149",149,"AB-149","Auto & Accessories","Tyre",250,0.04
"150",150,"CP-150","Auto & Accessories","Bike Tyres",24,0.02
"151",151,"CP-151","Auto & Accessories","Car Mat",13,0.05
"152",152,"OL-152","Auto & Accessories","Car Seat Covers",28,0.04
"153",153,"AB-153","Auto & Accessories","Car Pillow & Neck Rest",231,0.03
"154",154,"AP-154","Auto & Accessories","Car Media Players",140,0.01
"155",155,"RS-155","Auto & Accessories","Car Speakers",42,0.03
"156",156,"AP-156","Auto & Accessories","Car Body Covers",29,0.01
"157",157,"RS-157","Auto & Accessories","Car & Bike Care",118,0.05
"158",158,"OL-158","Auto & Accessories","Tyre",83,0.01
"159",159,"XP-159","Auto & Accessories","Bike Tyres",24,0.01
"160",160,"XP-160","Auto & Accessories","Car Mat",10,0.03
"161",161,"AP-161","Auto & Accessories","Car Seat Covers",57,0.01
"162",162,"AB-162","Auto & Accessories","Car Pillow & Neck Rest",57,0.03
"163",163,"RS-163","Auto & Accessories","Car Media Players",140,0.03
"164",164,"AB-164","Auto & Accessories","Car Speakers",105,0.02
"165",165,"XP-165","Auto & Accessories","Car Body Covers",29,0.02
"166",166,"AP-166","Auto & Accessories","Car & Bike Care",118,0.01
"167",167,"OL-167","Auto & Accessories","Tyre",50,0.02
"168",168,"AP-168","Auto & Accessories","Bike Tyres",72,0.03
"169",169,"AB-169","Auto & Accessories","Car Mat",10,0.05
"170",170,"PQ-170","Auto & Accessories","Car Seat Covers",57,0.04
"171",171,"AP-171","Auto & Accessories","Car Pillow & Neck Rest",57,0.02
"172",172,"RS-172","Auto & Accessories","Car Media Players",35,0.02
"173",173,"PQ-173","Auto & Accessories","Car Speakers",52,0.01
"174",174,"AP-174","Auto & Accessories","Car Body Covers",23,0.03
"175",175,"AB-175","Auto & Accessories","Car & Bike Care",23,0.01
"176",176,"RS-176","Auto & Accessories","Tyre",50,0.03
"177",177,"AB-177","Auto & Accessories","Bike Tyres",36,0.03
"178",178,"OL-178","Auto & Accessories","Car Mat",27,0.04
"179",179,"XP-179","Auto & Accessories","Car Seat Covers",57,0.03
"180",180,"AP-180","Auto & Accessories","Car Pillow & Neck Rest",231,0.05
"181",181,"XP-181","Auto & Accessories","Car Media Players",28,0.05
"182",182,"OL-182","Auto & Accessories","Car Speakers",211,0.02
"183",183,"AP-183","Auto & Accessories","Car Body Covers",23,0.04
"184",184,"PZ-184","Auto & Accessories","Car & Bike Care",29,0.03
"185",185,"OL-185","Auto & Accessories","Tyre",62,0.05
"186",186,"OL-186","Auto & Accessories","Bike Tyres",24,0.01
"187",187,"AB-187","Auto & Accessories","Car Mat",10,0.02
"188",188,"AP-188","Auto & Accessories","Car Seat Covers",114,0.05
"189",189,"OL-189","Auto & Accessories","Car Pillow & Neck Rest",46,0.02
"190",190,"XP-190","Auto & Accessories","Car Media Players",46,0.01
"191",191,"PQ-191","Auto & Accessories","Car Speakers",52,0.03
"192",192,"AB-192","Auto & Accessories","Car Body Covers",58,0.02
"193",193,"XP-193","Auto & Accessories","Car & Bike Care",59,0.02
"194",194,"AP-194","Auto & Accessories","Tyre",50,0.04
"195",195,"PQ-195","Auto & Accessories","Bike Tyres",24,0.03
"196",196,"XP-196","Auto & Accessories","Car Mat",54,0.05
"197",197,"RS-197","Auto & Accessories","Car Seat Covers",38,0.03
"198",198,"AB-198","Auto & Accessories","Car Pillow & Neck Rest",77,0.03
"199",199,"PQ-199","Auto & Accessories","Car Media Players",140,0.01
"200",200,"PZ-200","Auto & Accessories","Car Speakers",70,0.02
"201",201,"PZ-201","Auto & Accessories","Car Body Covers",39,0.03
"202",202,"OL-202","Auto & Accessories","Car & Bike Care",29,0.01
"203",203,"XP-203","Auto & Accessories","Tyre",83,0.01
"204",204,"XP-204","Auto & Accessories","Bike Tyres",24,0.03
"205",205,"PQ-205","Auto & Accessories","Car Mat",27,0.04
"206",206,"PQ-206","Auto & Accessories","Car Seat Covers",114,0.05
"207",207,"AB-207","Auto & Accessories","Car Pillow & Neck Rest",231,0.01
"208",208,"PZ-208","Auto & Accessories","Car Media Players",28,0.03
"209",209,"CP-209","Auto & Accessories","Car Speakers",211,0.04
"210",210,"CP-210","Auto & Accessories","Car Body Covers",29,0.03
"211",211,"PQ-211","Auto & Accessories","Car & Bike Care",59,0.04
"212",212,"RS-212","Auto & Accessories","Tyre",50,0.03
"213",213,"OL-213","Auto & Accessories","Bike Tyres",18,0.04
"214",214,"RS-214","Auto & Accessories","Car Mat",10,0.03
"215",215,"RS-215","Auto & Accessories","Car Seat Covers",38,0.01
"216",216,"AB-216","Auto & Accessories","Car Pillow & Neck Rest",46,0.05
"217",217,"XP-217","Auto & Accessories","Car Media Players",70,0.04
"218",218,"OL-218","Auto & Accessories","Car Speakers",42,0.04
"219",219,"PQ-219","Auto & Accessories","Car Body Covers",39,0.05
"220",220,"PQ-220","Auto & Accessories","Car & Bike Care",23,0.05
"221",221,"PZ-221","Auto & Accessories","Tyre",62,0.04
"222",222,"OL-222","Auto & Accessories","Bike Tyres",24,0.02
"223",223,"RS-223","Auto & Accessories","Car Mat",18,0.04
"224",224,"PQ-224","Auto & Accessories","Car Seat Covers",38,0.05
"225",225,"AB-225","Auto & Accessories","Car Pillow & Neck Rest",46,0.03
"226",226,"AP-226","Auto & Accessories","Car Media Players",70,0.04
"227",227,"PZ-227","Auto & Accessories","Car Speakers",52,0.03
"228",228,"AP-228","Auto & Accessories","Car Body Covers",39,0.01
"229",229,"PZ-229","Auto & Accessories","Car & Bike Care",59,0.02
"230",230,"OL-230","Auto & Accessories","Tyre",62,0.05
"231",231,"AB-231","Auto & Accessories","Bike Tyres",18,0.05
"232",232,"PZ-232","Auto & Accessories","Car Mat",54,0.01
"233",233,"XP-233","Auto & Accessories","Car Seat Covers",38,0.04
"234",234,"PQ-234","Auto & Accessories","Car Pillow & Neck Rest",46,0.03
"235",235,"OL-235","Auto & Accessories","Car Media Players",46,0.01
"236",236,"AB-236","Auto & Accessories","Car Speakers",211,0.04
"237",237,"CP-237","Auto & Accessories","Car Body Covers",117,0.02
"238",238,"RS-238","Auto & Accessories","Car & Bike Care",29,0.03
"239",239,"XP-239","Auto & Accessories","Tyre",62,0.01
"240",240,"OL-240","Auto & Accessories","Bike Tyres",36,0.05
"241",241,"OL-241","Auto & Accessories","Car Mat",10,0.01
"242",242,"OL-242","Auto & Accessories","Car Seat Covers",114,0.04
"243",243,"RS-243","Auto & Accessories","Car Pillow & Neck Rest",115,0.02
"244",244,"XP-244","Auto & Accessories","Car Media Players",28,0.04
"245",245,"PQ-245","Auto & Accessories","Car Speakers",211,0.04
"246",246,"AB-246","Auto & Accessories","Car Body Covers",117,0.04
"247",247,"CP-247","Auto & Accessories","Car & Bike Care",23,0.01
"248",248,"PQ-248","Auto & Accessories","Tyre",62,0.04
"249",249,"XP-249","Auto & Accessories","Bike Tyres",24,0.01
"250",250,"AB-250","Auto & Accessories","Car Mat",54,0.04
"251",251,"OL-251","Auto & Accessories","Car Seat Covers",114,0.03
"252",252,"RS-252","Auto & Accessories","Car Pillow & Neck Rest",46,0.02
"253",253,"AP-253","Auto & Accessories","Car Media Players",35,0.05
"254",254,"PZ-254","Auto & Accessories","Car Speakers",42,0.05
"255",255,"CP-255","Auto & Accessories","Car Body Covers",29,0.03
"256",256,"PZ-256","Auto & Accessories","Car & Bike Care",39,0.04
"257",257,"PQ-257","Auto & Accessories","Tyre",50,0.05
"258",258,"CP-258","Auto & Accessories","Bike Tyres",24,0.05
"259",259,"RS-259","Auto & Accessories","Car Mat",27,0.04
"260",260,"OL-260","Auto & Accessories","Car Seat Covers",22,0.03
"261",261,"PQ-261","Auto & Accessories","Car Pillow & Neck Rest",231,0.04
"262",262,"XP-262","Auto & Accessories","Car Media Players",46,0.02
"263",263,"AP-263","Auto & Accessories","Car Speakers",42,0.04
"264",264,"PQ-264","Auto & Accessories","Car Body Covers",39,0.04
"265",265,"AB-265","Auto & Accessories","Car & Bike Care",118,0.02
"266",266,"PZ-266","Auto & Accessories","Tyre",50,0.02
"267",267,"OL-267","Auto & Accessories","Bike Tyres",72,0.01
"268",268,"PQ-268","Auto & Accessories","Car Mat",54,0.05
"269",269,"AP-269","Auto & Accessories","Car Seat Covers",114,0.02
"270",270,"XP-270","Auto & Accessories","Car Pillow & Neck Rest",77,0.04
"271",271,"AP-271","Auto & Accessories","Car Media Players",35,0.01
"272",272,"CP-272","Auto & Accessories","Car Speakers",52,0.05
"273",273,"PQ-273","Auto & Accessories","Car Body Covers",29,0.02
"274",274,"XP-274","Auto & Accessories","Car & Bike Care",59,0.02
"275",275,"PQ-275","Auto & Accessories","Tyre",125,0.02
"276",276,"XP-276","Auto & Accessories","Bike Tyres",36,0.02
"277",277,"OL-277","Auto & Accessories","Car Mat",54,0.05
"278",278,"OL-278","Auto & Accessories","Car Seat Covers",28,0.05
"279",279,"AB-279","Auto & Accessories","Car Pillow & Neck Rest",57,0.01
"280",280,"PQ-280","Auto & Accessories","Car Media Players",70,0.05
"281",281,"OL-281","Auto & Accessories","Car Speakers",52,0.01
"282",282,"XP-282","Auto & Accessories","Car Body Covers",117,0.03
"283",283,"AP-283","Auto & Accessories","Car & Bike Care",23,0.02
"284",284,"PZ-284","Auto & Accessories","Tyre",125,0.04
"285",285,"AP-285","Auto & Accessories","Bike Tyres",24,0.04
"286",286,"PQ-286","Auto & Accessories","Car Mat",27,0.04
"287",287,"OL-287","Auto & Accessories","Car Seat Covers",57,0.04
"288",288,"PQ-288","Auto & Accessories","Car Pillow & Neck Rest",57,0.03
"289",289,"CP-289","Auto & Accessories","Car Media Players",28,0.01
"290",290,"PZ-290","Auto & Accessories","Car Speakers",42,0.03
"291",291,"AB-291","Auto & Accessories","Car Body Covers",39,0.03
"292",292,"XP-292","Auto & Accessories","Car & Bike Care",118,0.03
"293",293,"PZ-293","Auto & Accessories","Tyre",250,0.02
"294",294,"RS-294","Auto & Accessories","Bike Tyres",24,0.05
"295",295,"RS-295","Auto & Accessories","Car Mat",13,0.03
"296",296,"PQ-296","Auto & Accessories","Car Seat Covers",22,0.03
"297",297,"AP-297","Auto & Accessories","Car Pillow & Neck Rest",77,0.05
"298",298,"PZ-298","Auto & Accessories","Car Media Players",28,0.02
"299",299,"PZ-299","Auto & Accessories","Car Speakers",42,0.05
"300",300,"AP-300","Auto & Accessories","Car Body Covers",117,0.03
"301",301,"XP-301","Auto & Accessories","Car & Bike Care",39,0.03
"302",302,"PQ-302","Auto & Accessories","Tyre",83,0.02
"303",303,"OL-303","Auto & Accessories","Bike Tyres",18,0.03
"304",304,"AB-304","Auto & Accessories","Car Mat",54,0.01
"305",305,"AP-305","Auto & Accessories","Car Seat Covers",28,0.03
"306",306,"PQ-306","Auto & Accessories","Car Pillow & Neck Rest",46,0.04
"307",307,"RS-307","Auto & Accessories","Car Media Players",28,0.04
"308",308,"OL-308","Auto & Accessories","Car Speakers",52,0.04
"309",309,"AB-309","Auto & Accessories","Car Body Covers",58,0.02
"310",310,"PZ-310","Auto & Accessories","Car & Bike Care",29,0.04
"311",311,"PQ-311","Auto & Accessories","Tyre",125,0.03
"312",312,"CP-312","Auto & Accessories","Bike Tyres",72,0.03
"313",313,"AB-313","Auto & Accessories","Car Mat",13,0.02
"314",314,"XP-314","Auto & Accessories","Car Seat Covers",114,0.05
"315",315,"PZ-315","Auto & Accessories","Car Pillow & Neck Rest",115,0.01
"316",316,"RS-316","Auto & Accessories","Car Media Players",140,0.04
"317",317,"CP-317","Auto & Accessories","Car Speakers",70,0.01
"318",318,"PZ-318","Auto & Accessories","Car Body Covers",39,0.04
"319",319,"RS-319","Auto & Accessories","Car & Bike Care",59,0.05
"320",320,"PQ-320","Auto & Accessories","Tyre",125,0.04
"321",321,"XP-321","Auto & Accessories","Bike Tyres",72,0.05
"322",322,"CP-322","Auto & Accessories","Car Mat",54,0.02
"323",323,"PQ-323","Auto & Accessories","Car Seat Covers",38,0.03
"324",324,"AP-324","Auto & Accessories","Car Pillow & Neck Rest",46,0.01
"325",325,"XP-325","Auto & Accessories","Car Media Players",35,0.01
"326",326,"RS-326","Auto & Accessories","Car Speakers",211,0.01
"327",327,"OL-327","Auto & Accessories","Car Body Covers",23,0.01
"328",328,"PZ-328","Auto & Accessories","Car & Bike Care",59,0.01
"329",329,"AP-329","Auto & Accessories","Tyre",62,0.03
"330",330,"RS-330","Auto & Accessories","Bike Tyres",72,0.05
"331",331,"AP-331","Auto & Accessories","Car Mat",54,0.03
"332",332,"PQ-332","Auto & Accessories","Car Seat Covers",57,0.02
"333",333,"PZ-333","Auto & Accessories","Car Pillow & Neck Rest",77,0.05
"334",334,"PZ-334","Auto & Accessories","Car Media Players",70,0.01
"335",335,"AB-335","Auto & Accessories","Car Speakers",52,0.03
"336",336,"RS-336","Auto & Accessories","Car Body Covers",39,0.01
"337",337,"AP-337","Auto & Accessories","Car & Bike Care",39,0.02
"338",338,"PQ-338","Auto & Accessories","Tyre",62,0.01
"339",339,"CP-339","Auto & Accessories","Bike Tyres",36,0.05
"340",340,"CP-340","Auto & Accessories","Car Mat",18,0.04
"341",341,"CP-341","Auto & Accessories","Car Seat Covers",114,0.01
"342",342,"AB-342","Auto & Accessories","Car Pillow & Neck Rest",57,0.01
"343",343,"CP-343","Auto & Accessories","Car Media Players",35,0.03
"344",344,"RS-344","Auto & Accessories","Car Speakers",70,0.03
"345",345,"CP-345","Auto & Accessories","Car Body Covers",117,0.04
"346",346,"XP-346","Auto & Accessories","Car & Bike Care",29,0.02
"347",347,"PQ-347","Auto & Accessories","Tyre",83,0.01
"348",348,"AB-348","Auto & Accessories","Bike Tyres",36,0.03
"349",349,"AB-349","Auto & Accessories","Car Mat",27,0.03
"350",350,"RS-350","Auto & Accessories","Car Seat Covers",57,0.03
"351",351,"RS-351","Auto & Accessories","Car Pillow & Neck Rest",46,0.02
"352",352,"PQ-352","Auto & Accessories","Car Media Players",35,0.03
"353",353,"AB-353","Auto & Accessories","Car Speakers",70,0.03
"354",354,"CP-354","Auto & Accessories","Car Body Covers",23,0.05
"355",355,"CP-355","Auto & Accessories","Car & Bike Care",118,0.03
"356",356,"PZ-356","Auto & Accessories","Tyre",83,0.03
"357",357,"XP-357","Auto & Accessories","Bike Tyres",36,0.02
"358",358,"PZ-358","Auto & Accessories","Car Mat",10,0.01
"359",359,"PQ-359","Auto & Accessories","Car Seat Covers",114,0.01
"360",360,"RS-360","Auto & Accessories","Car Pillow & Neck Rest",231,0.01
"361",361,"CP-361","Auto & Accessories","Car Media Players",70,0.04
"362",362,"XP-362","Auto & Accessories","Car Speakers",211,0.02
"363",363,"PQ-363","Auto & Accessories","Car Body Covers",23,0.05
"364",364,"PQ-364","Auto & Accessories","Car & Bike Care",29,0.03
"365",365,"OL-365","Auto & Accessories","Tyre",50,0.01
"366",366,"AP-366","Auto & Accessories","Bike Tyres",36,0.03
"367",367,"OL-367","Auto & Accessories","Car Mat",18,0.04
"368",368,"AB-368","Auto & Accessories","Car Seat Covers",22,0.04
"369",369,"PQ-369","Auto & Accessories","Car Pillow & Neck Rest",57,0.04
"370",370,"XP-370","Auto & Accessories","Car Media Players",28,0.03
"371",371,"PZ-371","Auto & Accessories","Car Speakers",52,0.02
"372",372,"PZ-372","Auto & Accessories","Car Body Covers",117,0.01
"373",373,"PZ-373","Auto & Accessories","Car & Bike Care",23,0.01
"374",374,"PZ-374","Auto & Accessories","Tyre",50,0.03
"375",375,"AB-375","Auto & Accessories","Bike Tyres",24,0.03
"376",376,"XP-376","Auto & Accessories","Car Mat",10,0.05
"377",377,"OL-377","Auto & Accessories","Car Seat Covers",28,0.02
"378",378,"AB-378","Auto & Accessories","Car Pillow & Neck Rest",57,0.05
"379",379,"AP-379","Auto & Accessories","Car Media Players",46,0.04
"380",380,"AB-380","Auto & Accessories","Car Speakers",52,0.05
"381",381,"CP-381","Auto & Accessories","Car Body Covers",58,0.02
"382",382,"PQ-382","Auto & Accessories","Car & Bike Care",59,0.02
"383",383,"PQ-383","Auto & Accessories","Tyre",125,0.02
"384",384,"PZ-384","Auto & Accessories","Bike Tyres",14,0.02
"385",385,"PQ-385","Auto & Accessories","Car Mat",18,0.05
"386",386,"XP-386","Auto & Accessories","Car Seat Covers",38,0.01
"387",387,"AP-387","Auto & Accessories","Car Pillow & Neck Rest",46,0.05
"388",388,"CP-388","Auto & Accessories","Car Media Players",140,0.02
"389",389,"RS-389","Auto & Accessories","Car Speakers",52,0.04
"390",390,"OL-390","Auto & Accessories","Car Body Covers",39,0.03
"391",391,"AP-391","Auto & Accessories","Car & Bike Care",118,0.03
"392",392,"PQ-392","Auto & Accessories","Tyre",50,0.05
"393",393,"XP-393","Auto & Accessories","Bike Tyres",72,0.04
"394",394,"XP-394","Auto & Accessories","Car Mat",54,0.02
"395",395,"XP-395","Auto & Accessories","Car Seat Covers",114,0.01
"396",396,"PQ-396","Auto & Accessories","Car Pillow & Neck Rest",115,0.05
"397",397,"RS-397","Auto & Accessories","Car Media Players",28,0.05
"398",398,"CP-398","Auto & Accessories","Car Speakers",211,0.03
"399",399,"RS-399","Auto & Accessories","Car Body Covers",39,0.04
"400",400,"AB-400","Auto & Accessories","Car & Bike Care",39,0.02
"401",401,"OL-401","Auto & Accessories","Tyre",250,0.01
"402",402,"PZ-402","Auto & Accessories","Bike Tyres",18,0.01
"403",403,"XP-403","Auto & Accessories","Car Mat",13,0.01
"404",404,"PQ-404","Auto & Accessories","Car Seat Covers",57,0.04
"405",405,"PZ-405","Auto & Accessories","Car Pillow & Neck Rest",231,0.04
