ship.id,ship.date,ship.mode,ship.cost
DZ-272,2015-10-02,First Class,8.9
TA-273,2015-08-23,First Class,2.8
AX-274,2015-03-11,First Class,3.3
OP-275,2015-03-07,First Class,16
JK-276,2015-08-10,First Class,3.6
OP-277,2015-11-01,First Class,5.4
MZ-278,2015-02-03,First Class,1.1
LM-279,2015-03-02,First Class,14.2
DZ-280,2015-08-08,First Class,4.6
JK-281,2015-11-07,First Class,12.3
PQ-282,2015-04-04,First Class,3.3
DZ-283,2015-12-14,First Class,2.6
DF-284,2015-12-24,First Class,15
PQ-285,2015-10-30,First Class,2.4
MZ-286,2015-10-26,First Class,2.7
MZ-287,2015-02-17,First Class,2.5
MZ-288,2015-02-25,First Class,12.3
AX-289,2015-03-24,First Class,5.3
PQ-290,2015-02-18,First Class,9.9
DZ-291,2015-09-10,First Class,2.6
LM-292,2015-06-15,First Class,3.4
OP-293,2015-04-24,First Class,16.5
DZ-294,2015-06-16,First Class,2.4
PQ-295,2015-11-24,First Class,1.4
OP-296,2015-10-01,First Class,1.7
AX-297,2015-04-15,First Class,11.6
JK-298,2015-10-29,First Class,4.6
AX-299,2015-09-29,First Class,7.8
MZ-300,2015-01-23,First Class,3.3
LM-301,2015-02-24,First Class,2.7
AX-302,2015-03-18,First Class,15.5
LM-303,2015-07-27,First Class,1.8
LP-304,2015-08-21,First Class,5.4
JK-305,2015-07-14,First Class,2
LP-306,2015-05-14,First Class,10.5
MZ-307,2015-05-11,First Class,3.2
LP-308,2015-12-02,First Class,9.7
AX-309,2015-04-13,First Class,3.2
LM-310,2015-06-26,First Class,1.9
DZ-311,2015-04-10,First Class,15.5
DZ-312,2015-10-31,First Class,7.2
OP-313,2015-06-08,First Class,1.4
MZ-314,2015-09-14,First Class,2.8
AX-315,2015-03-14,First Class,14.6
LP-316,2015-11-08,First Class,5.4
AX-317,2015-12-27,First Class,12.5
AX-318,2015-03-11,First Class,2.3
DZ-319,2015-04-28,First Class,2.6
LM-320,2015-07-23,First Class,15
PQ-321,2015-11-11,First Class,7.2
TA-322,2015-04-24,First Class,5.4
LM-323,2015-10-14,First Class,2.4
TA-324,2015-06-15,First Class,13.9
OP-325,2015-06-21,First Class,5.4
LP-326,2015-08-25,First Class,12.9
DZ-327,2015-09-10,First Class,3.1
JK-328,2015-04-17,First Class,3.6
TA-329,2015-07-27,First Class,14
OP-330,2015-10-06,First Class,7.2
LP-331,2015-05-12,First Class,5.4
LP-332,2015-07-27,First Class,2.9
DZ-333,2015-09-03,First Class,11.6
JK-334,2015-04-17,First Class,5.7
LM-335,2015-05-16,First Class,10.6
LM-336,2015-11-16,First Class,3.3
DF-337,2015-09-27,First Class,3.1
LP-338,2016-01-01,First Class,16
LM-339,2015-09-09,First Class,3.6
TA-340,2015-09-04,First Class,1.8
LM-341,2015-08-25,First Class,3.3
AX-342,2015-06-26,First Class,14.2
OP-343,2015-03-18,First Class,4.3
DZ-344,2015-08-04,First Class,11.2
DZ-345,2015-10-01,First Class,3.2
DF-346,2015-02-11,First Class,2.9
DZ-347,2015-03-08,First Class,16.3
LP-348,2015-01-10,First Class,3.6
LP-349,2015-04-03,First Class,2.7
LM-350,2015-05-17,First Class,2.7
DZ-351,2015-04-21,First Class,12.8
TA-352,2015-07-22,First Class,4.3
TA-353,2015-04-23,First Class,11.2
JK-354,2015-12-24,First Class,0.8
DZ-355,2015-02-25,First Class,3.4
LP-356,2015-04-11,First Class,14.8
OP-357,2015-02-03,First Class,3.6
LP-358,2015-07-06,First Class,1.1
OP-359,2015-11-27,First Class,3.3
JK-360,2015-06-22,First Class,14.9
OP-361,2015-02-06,First Class,4.9
MZ-362,2015-01-21,First Class,12.7
OP-363,2015-01-06,First Class,0.8
JK-364,2015-02-10,First Class,2.4
LP-365,2015-04-05,First Class,15.8
LP-366,2015-03-08,First Class,3.6
JK-367,2015-01-22,First Class,1.8
PQ-368,2015-03-14,First Class,1.1
MZ-369,2015-07-29,First Class,11.4
DF-370,2015-08-24,First Class,3.9
TA-371,2015-11-25,First Class,11.4
AX-372,2015-09-04,First Class,3.6
AX-373,2015-03-14,First Class,3.2
PQ-374,2015-10-26,First Class,13.3
DF-375,2015-09-26,First Class,2.4
OP-376,2015-10-25,First Class,1.1
TA-377,2015-07-06,First Class,2.5
PQ-378,2015-09-23,First Class,10.5
DZ-379,2015-01-04,First Class,4.3
MZ-380,2015-08-19,First Class,8.9
JK-381,2015-11-20,First Class,3.2
DF-382,2015-03-21,First Class,3.3
AX-383,2015-01-22,First Class,16
OP-384,2015-05-19,First Class,1.4
MZ-385,2016-01-03,First Class,1.8
OP-386,2015-06-01,First Class,3.1
DF-387,2015-07-29,First Class,9.3
DZ-388,2015-04-27,First Class,5.7
AX-389,2015-02-22,First Class,9.7
PQ-390,2015-06-30,First Class,2.6
PQ-391,2015-05-27,First Class,3.4
OP-392,2015-07-08,First Class,10.8
DZ-393,2015-02-07,First Class,7.2
OP-394,2015-02-03,First Class,5.4
DZ-395,2015-08-24,First Class,3.3
LP-396,2015-10-27,First Class,12.8
DF-397,2015-01-11,First Class,2.5
PQ-398,2015-06-14,First Class,12.5
LM-399,2015-10-16,First Class,2.3
JK-400,2015-08-04,First Class,3.1
LP-401,2015-07-24,First Class,16.8
DF-402,2015-03-06,First Class,1.8
DF-403,2015-01-23,First Class,1.4
MZ-404,2015-04-25,First Class,2.5
DZ-405,2015-11-26,First Class,14.2
OP-406,2015-09-26,First Class,5.2
LM-407,2015-11-19,First Class,12.7
OP-408,2015-05-26,First Class,3.1
OP-409,2015-10-06,First Class,1.4
JK-410,2015-07-10,First Class,12
LM-411,2015-05-28,First Class,2.4
OP-412,2015-06-27,First Class,5.4
PQ-413,2015-05-13,First Class,2.4
DF-414,2015-10-27,First Class,13.3
JK-415,2015-05-17,First Class,5.4
DF-416,2015-03-10,First Class,11.8
LM-417,2015-12-08,First Class,3.3
LP-418,2015-07-22,First Class,3.1
TA-419,2015-04-09,First Class,16.3
OP-420,2015-10-03,First Class,2.4
AX-421,2015-07-07,First Class,1.4
LM-422,2015-05-10,First Class,1.7
DZ-423,2015-01-06,First Class,10.5
LP-424,2015-05-19,First Class,2.5
TA-425,2015-10-14,First Class,9.7
PQ-426,2015-12-12,First Class,2.5
DZ-427,2015-02-16,First Class,1.4
LP-428,2015-09-26,First Class,13.3
DZ-429,2015-04-13,First Class,3.6
LP-430,2015-04-27,First Class,5.4
DZ-431,2015-08-08,First Class,3.1
OP-432,2015-05-27,First Class,13.7
MZ-433,2015-04-12,First Class,5.9
LM-434,2015-07-10,First Class,12.3
OP-435,2015-01-15,First Class,1.8
DF-436,2015-03-22,First Class,2
LP-437,2015-10-25,First Class,16
JK-438,2015-02-19,First Class,1.4
JK-439,2015-06-15,First Class,2.7
JK-440,2015-06-11,First Class,2.5
DF-441,2015-04-26,First Class,11.6
TA-442,2016-01-01,First Class,5.6
OP-443,2015-04-19,First Class,9.9
JK-444,2015-05-28,First Class,3.2
JK-445,2015-05-08,First Class,3.6
JK-446,2015-02-28,First Class,12
PQ-447,2015-02-05,First Class,7.2
JK-448,2015-06-18,First Class,2.7
LM-449,2015-02-17,First Class,1.6
LP-450,2015-08-23,First Class,12.3
JK-451,2015-06-10,First Class,5.3
PQ-452,2015-12-08,First Class,10.6
LM-453,2015-03-23,First Class,1.8
DZ-454,2015-02-22,First Class,3.6
LM-455,2015-01-18,First Class,15.8
DZ-456,2015-07-07,First Class,2.4
AX-457,2015-04-09,First Class,1.8
JK-458,2015-04-25,First Class,3.2
DZ-459,2015-06-09,First Class,12.3
LP-460,2015-07-23,First Class,3.8
MZ-461,2015-08-08,First Class,9.9
TA-462,2015-07-01,First Class,2.5
OP-463,2015-12-09,First Class,1.4
LM-464,2015-02-19,First Class,15.5
MZ-465,2015-08-24,First Class,1.8
OP-466,2015-05-12,First Class,2.7
DF-467,2015-06-26,First Class,2.9
LM-468,2015-05-26,First Class,14.6
DF-469,2015-09-16,First Class,5.4
MZ-470,2015-05-29,First Class,7.8
LP-471,2015-09-20,First Class,3.2
LP-472,2015-08-14,First Class,3.3
OP-473,2015-06-04,First Class,16
OP-474,2015-02-19,First Class,7.2
PQ-475,2015-06-28,First Class,1.8
LP-476,2015-02-13,First Class,2
OP-477,2015-03-09,First Class,14.4
TA-478,2015-01-30,First Class,5.4
DF-479,2015-03-29,First Class,10.6
DZ-480,2015-12-08,First Class,1.9
JK-481,2015-12-23,First Class,3.3
LM-482,2015-02-17,First Class,14
TA-483,2015-01-06,First Class,7.2
DZ-484,2015-07-16,First Class,1.1
JK-485,2015-09-03,First Class,2.9
JK-486,2015-06-25,First Class,14.4
OP-487,2015-04-19,First Class,5.2
LP-488,2015-06-25,First Class,11
LP-489,2015-04-21,First Class,3
DZ-490,2015-10-09,First Class,3.3
AX-491,2015-03-22,First Class,16.8
MZ-492,2015-06-02,First Class,3.6
LM-493,2015-04-07,First Class,1.4
MZ-494,2015-05-07,First Class,2.3
JK-495,2015-04-06,First Class,9.3
DZ-496,2015-12-08,First Class,5.4
TA-497,2015-09-14,First Class,12.9
DZ-498,2015-10-06,First Class,2.5
LP-499,2015-08-03,First Class,3.6
DZ-500,2015-08-15,First Class,13.3
AX-501,2015-08-24,First Class,3.6
DZ-502,2015-09-09,First Class,1.1
DZ-503,2015-04-12,First Class,0.6
DZ-504,2015-03-18,First Class,11.6
AX-505,2015-08-21,First Class,2.5
PQ-506,2015-12-29,First Class,11.8
JK-507,2015-06-28,First Class,1.4
OP-508,2015-05-23,First Class,2
MZ-509,2015-06-21,First Class,10.8
AX-510,2015-06-27,First Class,3.6
LM-511,2015-01-18,First Class,1.4
DZ-512,2015-01-26,First Class,1.6
MZ-513,2015-04-12,First Class,11.6
PQ-514,2015-04-10,First Class,3.8
JK-515,2015-09-12,First Class,8.9
AX-516,2015-07-24,First Class,1.4
TA-517,2015-01-17,First Class,3.2
LM-518,2015-10-26,First Class,16
DZ-519,2015-08-31,First Class,1.8
OP-520,2015-11-11,First Class,1.1
LM-521,2015-05-02,First Class,3.2
LM-522,2015-03-29,First Class,11.4
DF-523,2015-10-22,First Class,5.2
DZ-524,2015-10-24,First Class,8.9
JK-525,2015-01-31,First Class,0.8
LP-526,2015-04-30,First Class,3.1
LP-527,2015-12-02,First Class,15.8
LM-528,2015-10-27,First Class,7.2
JK-529,2015-03-16,First Class,2.7
LM-530,2015-04-05,First Class,1.7
JK-531,2015-09-27,First Class,14.2
PQ-532,2015-10-23,First Class,3.9
JK-533,2015-11-08,First Class,11.2
JK-534,2015-04-25,First Class,3.5
AX-535,2015-10-25,First Class,1.9
JK-536,2015-03-24,First Class,6.7
AX-537,2015-02-12,First Class,1.8
DZ-538,2015-09-01,First Class,1.1
MZ-539,2015-07-01,First Class,1.1
OP-540,2015-12-03,First Class,14.4
DF-541,2015-07-03,First Class,5.9
LM-542,2015-05-19,First Class,9.7
LP-543,2015-03-30,First Class,2.8
LM-544,2015-11-22,First Class,3.2
OP-545,2015-12-11,First Class,15.8
LM-546,2015-12-06,First Class,1.4
AX-547,2015-03-03,First Class,2.7
LP-548,2015-08-10,First Class,2.9
MZ-549,2015-02-24,First Class,12.8
JK-550,2015-03-13,First Class,5.3
AX-551,2015-07-20,First Class,12.7
DF-552,2015-10-03,First Class,3
TA-553,2015-04-26,First Class,0.9
DF-554,2015-10-19,First Class,14
AX-555,2015-10-06,First Class,1.8
JK-556,2015-03-11,First Class,2.7
MZ-557,2015-07-18,First Class,2.3
AX-558,2015-10-10,First Class,14.6
PQ-559,2015-07-28,First Class,5.3
LP-560,2015-06-10,First Class,12.3
MZ-561,2015-09-14,First Class,1.8
DF-562,2015-10-26,First Class,3.1
AX-563,2015-08-07,First Class,16.5
DF-564,2015-01-08,First Class,2.4
DF-565,2015-06-12,First Class,1.4
DZ-566,2015-06-10,First Class,2.9
MZ-567,2015-06-12,First Class,9.3
JK-568,2015-10-18,First Class,5.4
MZ-569,2015-08-20,First Class,12.9
LP-570,2015-03-25,First Class,3.2
DF-571,2015-10-28,First Class,2.6
DZ-572,2015-05-28,First Class,13
DF-573,2015-05-20,First Class,3.6
DZ-574,2015-08-16,First Class,1.4
DF-575,2015-03-18,First Class,2.5
JK-576,2015-12-03,First Class,11.6
OP-577,2015-10-24,First Class,3.8
PQ-578,2015-11-29,First Class,12
TA-579,2015-04-30,First Class,2.8
JK-580,2015-08-28,First Class,2.4
DZ-581,2015-06-01,First Class,12
LP-582,2016-01-03,First Class,1.4
MZ-583,2015-02-14,First Class,1.8
TA-584,2015-06-21,First Class,2.9
MZ-585,2015-07-13,First Class,11.4
LM-586,2015-04-22,First Class,5.7
LP-587,2015-12-27,First Class,12.5
PQ-588,2015-12-01,First Class,1.8
OP-589,2015-07-28,First Class,3.7
LP-590,2016-01-03,First Class,16.5
LP-591,2015-02-11,First Class,2.4
DZ-592,2015-09-15,First Class,1.4
LP-593,2015-03-02,First Class,2.9
MZ-594,2015-01-26,First Class,10.5
PQ-595,2015-11-02,First Class,4.6
LM-596,2015-01-13,First Class,9.9
DF-597,2015-06-10,First Class,1.9
TA-598,2015-04-27,First Class,3.6
MZ-599,2015-12-07,First Class,15.8
DF-600,2015-07-20,First Class,3.6
JK-601,2015-08-24,First Class,2.7
JK-602,2015-12-10,First Class,3.2
JK-603,2015-03-07,First Class,12.8
TA-604,2015-03-30,First Class,5.4
TA-605,2015-04-09,First Class,11.8
PQ-606,2015-01-19,First Class,3.3
MZ-607,2015-06-20,First Class,3.2
LP-608,2015-07-23,First Class,15.8
DF-609,2015-01-15,First Class,3.6
OP-610,2015-04-23,First Class,2.7
LM-611,2015-07-04,First Class,2.3
DZ-612,2015-11-23,First Class,13.7
MZ-613,2015-09-21,First Class,4.3
LP-614,2015-12-05,First Class,11
MZ-615,2015-06-20,First Class,3.5
DZ-616,2015-06-20,First Class,3.3
JK-617,2015-07-07,First Class,16.3
PQ-618,2015-11-01,First Class,1.8
PQ-619,2015-08-29,First Class,1.1
JK-620,2016-01-01,First Class,2.7
DZ-621,2015-06-30,First Class,12.3
JK-622,2015-12-03,First Class,2.5
AX-623,2015-11-30,First Class,12.3
PQ-624,2015-05-06,First Class,1.4
OP-625,2016-01-01,First Class,3.4
MZ-626,2015-02-05,First Class,14
OP-627,2015-08-17,First Class,1.8
TA-628,2015-06-21,First Class,1.4
TA-629,2015-01-03,First Class,1.7
TA-630,2015-07-08,First Class,13.7
LP-631,2015-11-05,First Class,4.7
TA-632,2015-05-27,First Class,11.8
JK-633,2015-05-27,First Class,2.8
OP-634,2015-03-11,First Class,2.4
PQ-635,2015-12-19,First Class,10.8
OP-636,2015-11-01,First Class,3.6
OP-637,2015-05-18,First Class,1.8
PQ-638,2015-01-20,First Class,2.5
LP-639,2015-11-04,First Class,14.6
JK-640,2015-04-09,First Class,5.4
DZ-641,2015-03-31,First Class,11
JK-642,2015-11-20,First Class,3.2
DF-643,2015-03-20,First Class,0.9
MZ-644,2015-03-21,First Class,16
OP-645,2015-03-11,First Class,1.8
TA-646,2015-11-06,First Class,5.4
TA-647,2015-03-06,First Class,3.1
OP-648,2015-06-08,First Class,14.4
LP-649,2015-04-20,First Class,4.9
DZ-650,2015-09-04,First Class,12.7
LP-651,2015-01-13,First Class,3.1
LM-652,2015-11-10,First Class,2.7
TA-653,2015-06-23,First Class,16.8
LP-654,2015-04-15,First Class,7.2
LP-655,2015-06-26,First Class,1.8
MZ-656,2015-02-17,First Class,3.3
AX-657,2015-03-29,First Class,9.3
OP-658,2015-07-04,First Class,5.2
JK-659,2015-01-30,First Class,11.2
DF-660,2015-03-27,First Class,1.8
PQ-661,2015-09-26,First Class,2.7
MZ-662,2015-01-31,First Class,13
OP-663,2015-01-12,First Class,3.6
JK-664,2015-05-04,First Class,1.8
AX-665,2015-08-04,First Class,2.9
TA-666,2015-04-07,First Class,13.3
OP-667,2015-01-05,First Class,5.7
MZ-668,2015-03-09,First Class,11.2
DZ-669,2015-02-24,First Class,2.6
LP-670,2015-05-23,First Class,3.6
DF-671,2015-12-26,First Class,15.8
LP-672,2015-12-16,First Class,7.2
PQ-673,2015-05-04,First Class,2.7
LM-674,2015-05-27,First Class,2.5
DZ-675,2015-05-14,First Class,12.3
DF-676,2015-06-19,First Class,5.9
OP-677,2015-06-21,First Class,7.8
AX-678,2015-08-04,First Class,3.1
OP-679,2015-02-20,First Class,3.6
DZ-680,2015-01-19,First Class,14.5
PQ-681,2015-03-24,First Class,1.4
JK-682,2015-07-01,First Class,2.7
LM-683,2015-03-20,First Class,3.2
DZ-684,2015-09-13,First Class,9.3
JK-685,2015-06-15,First Class,5.2
AX-686,2015-11-22,First Class,9.7
DF-687,2015-10-02,First Class,3.6
TA-688,2015-05-13,First Class,2.9
JK-689,2015-11-16,First Class,15
DF-690,2015-01-16,First Class,2.4
TA-691,2015-03-09,First Class,1.1
MZ-692,2015-05-24,First Class,2.3
DF-693,2015-05-15,First Class,13.3
