"","order.id","product.id","customer.id","ship.id","qty.purchased","profit","purchase.segment"
"35","XP-35","AP-35","ON-0035","LP-35",4,29.4,"Corporate"
"36","XP-36","XP-36","SH-0036","LP-36",2,127.9,"Consumer"
"37","OL-37","AP-37","KE-0037","LM-37",5,32,"Corporate"
"38","PQ-38","OL-38","YD-0038","PQ-38",4,122.6,"Consumer"
"39","CP-39","OL-39","MS-0039","DF-39",1,32.3,"Home Office"
"40","AB-40","CP-40","RE-0040","TA-40",5,14.4,"Consumer"
"41","AP-41","RS-41","ER-0041","TA-41",5,132.5,"Corporate"
"42","OL-42","PZ-42","IN-0042","AX-42",5,14.4,"Consumer"
"43","PQ-43","PZ-43","EN-0043","AX-43",5,10.8,"Consumer"
"44","PZ-44","AB-44","DI-0044","PQ-44",4,15.8,"Consumer"
"45","RS-45","PZ-45","TT-0045","OP-45",4,114,"Home Office"
"46","CP-46","CP-46","ER-0046","LP-46",2,46,"Consumer"
"47","XP-47","OL-47","CH-0047","OP-47",1,128.9,"Corporate"
"48","OL-48","RS-48","CK-0048","MZ-48",4,13.6,"Consumer"
"49","XP-49","OL-49","TT-0049","AX-49",5,14.4,"Corporate"
"50","PQ-50","XP-50","RS-0050","TA-50",2,165,"Home Office"
"51","CP-51","AB-51","AN-0051","DF-51",2,36,"Consumer"
"52","PQ-52","AB-52","LE-0052","OP-52",5,10.8,"Consumer"
"53","AB-53","AP-53","IS-0053","OP-53",4,11.2,"Home Office"
"54","AB-54","AB-54","LY-0054","MZ-54",2,132.5,"Consumer"
"55","XP-55","CP-55","NT-0055","LM-55",2,51.6,"Home Office"
"56","PQ-56","OL-56","IE-0056","DF-56",1,128.9,"Consumer"
"57","OL-57","RS-57","SS-0057","JK-57",4,27.6,"Consumer"
"58","CP-58","CP-58","ON-0058","OP-58",3,20.3,"Consumer"
"59","XP-59","PQ-59","EN-0059","PQ-59",1,160,"Corporate"
"60","PZ-60","OL-60","ON-0060","AX-60",2,36,"Consumer"
"61","OL-61","AP-61","KS-0061","JK-61",5,10.8,"Home Office"
"62","AP-62","AB-62","ON-0062","AX-62",3,30.6,"Consumer"
"63","PQ-63","AB-63","EY-0063","DF-63",5,127.9,"Corporate"
"64","AP-64","XP-64","ED-0064","LM-64",1,53,"Corporate"
"65","RS-65","XP-65","RE-0065","DZ-65",2,109.9,"Consumer"
"66","CP-66","PZ-66","LL-0066","LM-66",1,34.7,"Consumer"
"67","RS-67","AB-67","SS-0067","MZ-67",1,36.8,"Home Office"
"68","OL-68","AB-68","EN-0068","OP-68",1,167.5,"Corporate"
"69","AP-69","PZ-69","LO-0069","DZ-69",1,72,"Corporate"
"70","CP-70","AB-70","ER-0070","OP-70",1,54,"Consumer"
"71","OL-71","AP-71","NT-0071","LM-71",4,20.3,"Corporate"
"72","RS-72","OL-72","ON-0072","OP-72",3,116.4,"Corporate"
"73","OL-73","XP-73","RT-0073","DZ-73",4,32,"Consumer"
"74","AP-74","OL-74","EP-0074","DZ-74",5,120.5,"Home Office"
"75","PQ-75","CP-75","AN-0075","DZ-75",4,32.3,"Home Office"
"76","OL-76","AP-76","CH-0076","LM-76",1,36.8,"Corporate"
"77","PQ-77","PQ-77","NN-0077","LM-77",4,140,"Home Office"
"78","XP-78","RS-78","ON-0078","JK-78",4,18,"Corporate"
"79","AB-79","OL-79","LL-0079","TA-79",5,10.8,"Consumer"
"80","AP-80","RS-80","NS-0080","DF-80",1,28.3,"Consumer"
"81","XP-81","RS-81","NA-0081","DF-81",1,144.1,"Consumer"
"82","AP-82","AB-82","SH-0082","JK-82",1,58.6,"Corporate"
"83","AP-83","PQ-83","ER-0083","AX-83",5,99.4,"Consumer"
"84","PQ-84","PQ-84","ON-0084","LP-84",3,30,"Consumer"
"85","PQ-85","CP-85","NI-0085","OP-85",2,28.6,"Consumer"
"86","AB-86","RS-86","LE-0086","JK-86",4,120,"Consumer"
"87","AB-87","RS-87","EN-0087","DZ-87",2,36,"Consumer"
"88","AB-88","XP-88","EN-0088","LM-88",2,27,"Home Office"
"89","RS-89","AB-89","ER-0089","DF-89",2,24.9,"Consumer"
"90","AB-90","AB-90","EN-0090","MZ-90",5,104.8,"Consumer"
"91","CP-91","RS-91","IS-0091","DZ-91",1,54.4,"Corporate"
"92","OL-92","RS-92","LL-0092","TA-92",3,124.7,"Corporate"
"93","XP-93","PZ-93","EN-0093","PQ-93",2,32.3,"Consumer"
"94","PZ-94","OL-94","DE-0094","OP-94",4,19.1,"Corporate"
"95","AB-95","AP-95","ER-0095","DZ-95",4,140,"Consumer"
"96","PQ-96","CP-96","ON-0096","LM-96",3,36,"Consumer"
"97","XP-97","OL-97","ON-0097","LM-97",5,10.8,"Consumer"
"98","OL-98","AB-98","ND-0098","LM-98",3,20.3,"Consumer"
"99","XP-99","AP-99","ND-0099","TA-99",2,141.8,"Home Office"
"100","AP-100","AP-100","CK-00100","PQ-100",1,58.6,"Consumer"
"101","CP-101","RS-101","RN-00101","TA-101",5,99.4,"Consumer"
"102","CP-102","AP-102","LL-00102","LP-102",3,26.5,"Consumer"
"103","XP-103","OL-103","SE-00103","DF-103",5,14.4,"Consumer"
"104","AB-104","PQ-104","LO-00104","LP-104",3,132.5,"Corporate"
"105","AB-105","AB-105","EN-00105","TA-105",4,18,"Consumer"
"106","XP-106","OL-106","ER-00106","AX-106",5,10.8,"Consumer"
"107","RS-107","XP-107","TZ-00107","PQ-107",2,29.4,"Consumer"
"108","RS-108","AB-108","IN-00108","TA-108",3,137.1,"Consumer"
"109","RS-109","PZ-109","AS-00109","TA-109",4,43.2,"Consumer"
"110","XP-110","AB-110","NE-00110","MZ-110",3,99.4,"Consumer"
"111","PQ-111","PQ-111","ER-00111","LP-111",5,7.8,"Consumer"
"112","PQ-112","XP-112","LL-00112","TA-112",3,34.5,"Consumer"
"113","PQ-113","AB-113","SH-00113","OP-113",5,157.5,"Consumer"
"114","XP-114","AB-114","PO-00114","LM-114",2,36,"Home Office"
"115","PZ-115","PQ-115","ZO-00115","LM-115",4,13.5,"Home Office"
"116","XP-116","AP-116","CK-00116","JK-116",5,5.5,"Home Office"
"117","AP-117","AB-117","EN-00117","LM-117",4,132.5,"Consumer"
"118","AP-118","AP-118","RI-00118","OP-118",1,54.4,"Consumer"
"119","PZ-119","OL-119","IS-00119","PQ-119",3,105.7,"Home Office"
"120","CP-120","AB-120","LL-00120","DZ-120",5,31.2,"Consumer"
"121","XP-121","CP-121","OS-00121","LM-121",5,20.3,"Corporate"
"122","AP-122","AP-122","LL-00122","MZ-122",4,120,"Consumer"
"123","AP-123","XP-123","IS-00123","DZ-123",4,18,"Consumer"
"124","AP-124","PZ-124","ST-00124","TA-124",1,54,"Consumer"
"125","PQ-125","AB-125","RK-00125","TA-125",3,27.2,"Corporate"
"126","AP-126","AP-126","ER-00126","TA-126",1,148.7,"Consumer"
"127","OL-127","OL-127","RR-00127","DZ-127",1,58.6,"Corporate"
"128","RS-128","RS-128","WE-00128","OP-128",3,124.7,"Consumer"
"129","OL-129","RS-129","AM-00129","TA-129",5,13.6,"Corporate"
"130","XP-130","RS-130","ON-00130","OP-130",5,26.2,"Consumer"
"131","CP-131","CP-131","EN-00131","PQ-131",3,155,"Home Office"
"132","AB-132","PZ-132","DT-00132","AX-132",5,14.4,"Home Office"
"133","RS-133","OL-133","ON-00133","PQ-133",1,54,"Corporate"
"134","PQ-134","CP-134","EN-00134","MZ-134",5,5.5,"Corporate"
"135","PQ-135","PZ-135","TT-00135","OP-135",2,141.8,"Corporate"
"136","AP-136","PZ-136","UE-00136","DZ-136",1,55.8,"Consumer"
"137","RS-137","OL-137","LS-00137","DF-137",4,114.1,"Corporate"
"138","AB-138","XP-138","KY-00138","LM-138",5,13.6,"Corporate"
"139","XP-139","AP-139","TZ-00139","LM-139",5,14.4,"Consumer"
"140","PQ-140","RS-140","ER-00140","OP-140",4,120,"Consumer"
"141","XP-141","OL-141","CH-00141","JK-141",5,14.4,"Consumer"
"142","AP-142","RS-142","LE-00142","TA-142",5,10.8,"Consumer"
"143","XP-143","XP-143","EY-00143","PQ-143",4,11.2,"Consumer"
"144","PZ-144","OL-144","NI-00144","AX-144",1,139.5,"Consumer"
"145","OL-145","OL-145","CK-00145","DF-145",5,53,"Consumer"
"146","PZ-146","RS-146","NG-00146","PQ-146",5,88.8,"Consumer"
"147","AB-147","AB-147","OE-00147","OP-147",1,34.7,"Consumer"
"148","CP-148","CP-148","RE-00148","LM-148",5,8.5,"Consumer"
"149","PQ-149","PZ-149","LE-00149","PQ-149",1,160,"Corporate"
"150","OL-150","PQ-150","PO-00150","LM-150",3,24,"Corporate"
"151","AB-151","AP-151","ER-00151","DZ-151",4,13.5,"Home Office"
"152","PZ-152","CP-152","LS-00152","LP-152",4,15.8,"Corporate"
"153","PQ-153","PQ-153","ER-00153","LP-153",1,144.1,"Consumer"
"154","PQ-154","AP-154","DT-00154","OP-154",1,58.6,"Consumer"
"155","CP-155","OL-155","TT-00155","MZ-155",5,99.4,"Home Office"
"156","RS-156","RS-156","ON-00156","JK-156",4,32.3,"Home Office"
"157","OL-157","CP-157","AK-00157","TA-157",1,32.1,"Home Office"
"158","PQ-158","AP-158","LE-00158","DZ-158",3,162.5,"Consumer"
"159","AP-159","XP-159","AN-00159","JK-159",3,24,"Consumer"
"160","CP-160","XP-160","DE-00160","LP-160",5,10.8,"Corporate"
"161","OL-161","PZ-161","ER-00161","JK-161",2,31.7,"Corporate"
"162","RS-162","PQ-162","DY-00162","DF-162",4,123.3,"Corporate"
"163","PZ-163","RS-163","RI-00163","AX-163",1,55.8,"Home Office"
"164","PQ-164","OL-164","KE-00164","LM-164",2,122.6,"Corporate"
"165","PZ-165","AB-165","TH-00165","DZ-165",4,27.6,"Home Office"
"166","RS-166","PQ-166","NS-00166","AX-166",1,36.8,"Corporate"
"167","AP-167","XP-167","KY-00167","OP-167",5,145,"Corporate"
"168","AP-168","AB-168","AN-00168","OP-168",1,72,"Consumer"
"169","OL-169","AB-169","IS-00169","MZ-169",5,10.8,"Home Office"
"170","RS-170","AB-170","AN-00170","TA-170",2,24.9,"Consumer"
"171","AP-171","CP-171","AN-00171","DF-171",4,132.5,"Consumer"
"172","AP-172","CP-172","HY-00172","PQ-172",4,48.8,"Consumer"
"173","AB-173","OL-173","SS-00173","PQ-173",4,122.6,"Home Office"
"174","RS-174","PQ-174","EN-00174","LM-174",5,19.5,"Consumer"
"175","PQ-175","AP-175","EN-00175","DF-175",5,32.1,"Home Office"
"176","RS-176","PZ-176","NS-00176","LM-176",5,132.5,"Corporate"
"177","AB-177","CP-177","EN-00177","LP-177",2,36,"Consumer"
"178","PZ-178","AP-178","RY-00178","OP-178",2,27,"Consumer"
"179","CP-179","CP-179","LL-00179","AX-179",2,27.2,"Consumer"
"180","XP-180","PQ-180","LL-00180","DF-180",1,139.5,"Corporate"
"181","XP-181","CP-181","ET-00181","LM-181",5,25,"Consumer"
"182","PZ-182","RS-182","EN-00182","AX-182",1,126.8,"Corporate"
"183","PQ-183","AB-183","CH-00183","PQ-183",5,13.6,"Consumer"
"184","RS-184","CP-184","ON-00184","DF-184",4,23.8,"Home Office"
"185","CP-185","PQ-185","ER-00185","AX-185",4,120,"Home Office"
"186","AP-186","AB-186","ES-00186","OP-186",3,24,"Consumer"
"187","XP-187","RS-187","ON-00187","LP-187",5,10.8,"Consumer"
"188","AP-188","XP-188","IN-00188","OP-188",1,28.3,"Corporate"
"189","PQ-189","OL-189","LS-00189","JK-189",5,127.9,"Consumer"
"190","PQ-190","AB-190","KE-00190","TA-190",3,55.8,"Corporate"
"191","PZ-191","PZ-191","ON-00191","DF-191",4,105.7,"Corporate"
"192","CP-192","RS-192","EN-00192","LM-192",2,32.3,"Consumer"
"193","CP-193","CP-193","LY-00193","OP-193",2,33.3,"Consumer"
"194","CP-194","CP-194","NT-00194","PQ-194",5,120,"Home Office"
"195","RS-195","AP-195","ER-00195","DZ-195",3,24,"Home Office"
"196","PZ-196","XP-196","IN-00196","TA-196",1,54,"Corporate"
"197","PZ-197","XP-197","RE-00197","PQ-197",3,23.7,"Consumer"
"198","AB-198","XP-198","ZA-00198","PQ-198",3,130.2,"Home Office"
"199","AB-199","AP-199","AN-00199","LM-199",1,58.6,"Home Office"
"200","XP-200","PZ-200","EY-00200","PQ-200",3,118.3,"Home Office"
"201","XP-201","PQ-201","RE-00201","PQ-201",3,26.5,"Consumer"
"202","PZ-202","RS-202","CE-00202","JK-202",4,33.3,"Consumer"
"203","AB-203","AB-203","ES-00203","DF-203",3,162.5,"Consumer"
"204","AB-204","OL-204","ET-00204","OP-204",3,24,"Consumer"
"205","RS-205","RS-205","RF-00205","DZ-205",2,27,"Corporate"
"206","XP-206","XP-206","ER-00206","MZ-206",1,28.3,"Consumer"
"207","OL-207","AB-207","LL-00207","AX-207",1,148.7,"Corporate"
"208","AP-208","PQ-208","LE-00208","LP-208",5,39,"Consumer"
"209","OL-209","AB-209","DS-00209","DZ-209",1,122.6,"Corporate"
"210","OL-210","CP-210","EN-00210","AX-210",4,23,"Consumer"
"211","AB-211","CP-211","ON-00211","LM-211",2,28.6,"Corporate"
"212","AB-212","AP-212","EE-00212","AX-212",5,132.5,"Corporate"
"213","XP-213","AB-213","ER-00213","PQ-213",4,18,"Consumer"
"214","AP-214","RS-214","IN-00214","PQ-214",5,10.8,"Corporate"
"215","XP-215","AP-215","LY-00215","LM-215",3,30.6,"Consumer"
"216","PZ-216","AB-216","AN-00216","LM-216",5,93.3,"Home Office"
"217","PZ-217","XP-217","DT-00217","MZ-217",2,48.8,"Consumer"
"218","AB-218","AB-218","RR-00218","PQ-218",5,88.8,"Home Office"
"219","RS-219","RS-219","ON-00219","DZ-219",3,19.5,"Consumer"
"220","PQ-220","XP-220","DO-00220","JK-220",5,8.5,"Corporate"
"221","PZ-221","RS-221","ON-00221","TA-221",4,130,"Consumer"
"222","PQ-222","RS-222","LD-00222","TA-222",3,24,"Corporate"
"223","AB-223","XP-223","AN-00223","MZ-223",3,18,"Consumer"
"224","AB-224","OL-224","IE-00224","OP-224",3,16.9,"Home Office"
"225","CP-225","XP-225","LD-00225","TA-225",5,116.4,"Consumer"
"226","OL-226","XP-226","PO-00226","AX-226",2,48.8,"Corporate"
"227","PQ-227","PZ-227","LL-00227","JK-227",4,105.7,"Consumer"
"228","RS-228","CP-228","AN-00228","PQ-228",3,33.5,"Consumer"
"229","CP-229","XP-229","NY-00229","DZ-229",2,33.3,"Home Office"
"230","RS-230","PZ-230","TT-00230","JK-230",4,120,"Corporate"
"231","RS-231","OL-231","ON-00231","LP-231",4,18,"Home Office"
"232","AB-232","RS-232","AU-00232","DZ-232",1,54,"Consumer"
"233","XP-233","XP-233","IR-00233","LP-233",3,20.3,"Corporate"
"234","RS-234","RS-234","SE-00234","LM-234",5,116.4,"Home Office"
"235","PZ-235","PZ-235","ER-00235","OP-235",3,55.8,"Corporate"
"236","PZ-236","XP-236","EY-00236","DF-236",1,122.6,"Corporate"
"237","XP-237","XP-237","ED-00237","TA-237",1,34.7,"Corporate"
"238","AB-238","XP-238","LE-00238","TA-238",4,23.8,"Consumer"
"239","RS-239","OL-239","ON-00239","DF-239",4,160,"Consumer"
"240","XP-240","PQ-240","RD-00240","OP-240",2,36,"Consumer"
"241","RS-241","RS-241","TT-00241","LM-241",5,10.8,"Consumer"
"242","AP-242","PZ-242","OK-00242","DF-242",1,29.4,"Corporate"
"243","AB-243","PQ-243","AM-00243","OP-243",2,141.8,"Corporate"
"244","OL-244","AP-244","CH-00244","DZ-244",5,32,"Home Office"
"245","AB-245","AP-245","EL-00245","LP-245",1,122.6,"Consumer"
"246","AP-246","PQ-246","ON-00246","LM-246",1,32.3,"Consumer"
"247","XP-247","CP-247","NS-00247","PQ-247",5,32.1,"Home Office"
"248","XP-248","AB-248","EN-00248","LM-248",4,130,"Corporate"
"249","OL-249","PQ-249","IS-00249","OP-249",3,24,"Home Office"
"250","RS-250","RS-250","IS-00250","TA-250",1,54,"Home Office"
"251","XP-251","RS-251","IS-00251","JK-251",1,30.6,"Home Office"
"252","XP-252","AB-252","CK-00252","LP-252",5,127.9,"Home Office"
"253","OL-253","CP-253","EY-00253","DF-253",4,32,"Consumer"
"254","AP-254","RS-254","EZ-00254","OP-254",5,78.3,"Consumer"
"255","PQ-255","AP-255","RE-00255","JK-255",4,23,"Consumer"
"256","PQ-256","CP-256","AN-00256","LM-256",3,23.8,"Corporate"
"257","OL-257","XP-257","LS-00257","DF-257",5,107.5,"Consumer"
"258","AB-258","CP-258","RI-00258","LP-258",3,24,"Home Office"
"259","AB-259","AB-259","EN-00259","DF-259",2,27,"Home Office"
"260","XP-260","AP-260","EY-00260","OP-260",5,16.9,"Corporate"
"261","AB-261","AB-261","TY-00261","JK-261",1,141.8,"Corporate"
"262","PZ-262","PZ-262","OW-00262","MZ-262",3,51.6,"Consumer"
"263","PQ-263","CP-263","AN-00263","JK-263",5,88.8,"Corporate"
"264","PQ-264","RS-264","RE-00264","TA-264",3,23,"Consumer"
"265","CP-265","PQ-265","AY-00265","DZ-265",1,35.6,"Corporate"
"266","AP-266","RS-266","EY-00266","OP-266",5,145,"Home Office"
"267","AP-267","AB-267","CH-00267","LM-267",1,72,"Consumer"
"268","AB-268","AB-268","EN-00268","DZ-268",1,54,"Consumer"
"269","PZ-269","CP-269","AT-00269","PQ-269",1,31.7,"Corporate"
"270","PQ-270","PZ-270","ON-00270","TA-270",3,123.3,"Consumer"
"271","PZ-271","AB-271","AN-00271","OP-271",4,54.4,"Consumer"
"272","PZ-272","PZ-272","EZ-00272","DZ-272",4,88.8,"Corporate"
"273","PQ-273","PQ-273","ON-00273","TA-273",4,27.6,"Consumer"
"274","PQ-274","AB-274","SH-00274","AX-274",2,33.3,"Consumer"
"275","PZ-275","PQ-275","LT-00275","OP-275",2,160,"Consumer"
"276","XP-276","AP-276","EN-00276","JK-276",2,36,"Corporate"
"277","AP-277","OL-277","NG-00277","OP-277",1,54,"Consumer"
"278","AB-278","OL-278","ON-00278","MZ-278",4,11.2,"Consumer"
"279","AB-279","AB-279","KS-00279","LM-279",4,141.8,"Consumer"
"280","PQ-280","RS-280","KA-00280","DZ-280",2,46,"Corporate"
"281","CP-281","CP-281","RD-00281","JK-281",4,122.6,"Consumer"
"282","RS-282","AB-282","EN-00282","PQ-282",1,33.5,"Consumer"
"283","OL-283","XP-283","WN-00283","DZ-283",5,26.2,"Corporate"
"284","AB-284","OL-284","EN-00284","DF-284",2,150,"Consumer"
"285","XP-285","PZ-285","TT-00285","PQ-285",3,24,"Consumer"
"286","RS-286","PZ-286","ER-00286","MZ-286",2,27,"Consumer"
"287","XP-287","AB-287","DY-00287","MZ-287",2,24.9,"Corporate"
"288","AB-288","XP-288","RN-00288","MZ-288",4,123.3,"Consumer"
"289","CP-289","AP-289","NT-00289","AX-289",5,53,"Corporate"
"290","PZ-290","OL-290","ON-00290","PQ-290",5,99.4,"Home Office"
"291","AB-291","OL-291","IG-00291","DZ-291",3,26.5,"Corporate"
"292","RS-292","OL-292","ER-00292","LM-292",1,34.5,"Corporate"
"293","OL-293","CP-293","AM-00293","OP-293",1,165,"Consumer"
"294","XP-294","XP-294","CO-00294","DZ-294",3,24,"Corporate"
"295","PZ-295","XP-295","IN-00295","PQ-295",4,13.5,"Consumer"
"296","OL-296","PQ-296","ON-00296","OP-296",5,16.9,"Corporate"
"297","AP-297","XP-297","CK-00297","AX-297",3,116.4,"Consumer"
"298","AP-298","XP-298","NT-00298","JK-298",5,46,"Home Office"
"299","OL-299","AP-299","ST-00299","AX-299",5,78.3,"Home Office"
"300","PZ-300","PQ-300","AN-00300","MZ-300",1,33.5,"Corporate"
"301","CP-301","PZ-301","NI-00301","LM-301",3,27.4,"Consumer"
"302","OL-302","XP-302","ER-00302","AX-302",3,155,"Consumer"
"303","RS-303","AB-303","ER-00303","LM-303",4,18,"Consumer"
"304","PQ-304","OL-304","RT-00304","LP-304",1,54,"Corporate"
"305","CP-305","PQ-305","LE-00305","JK-305",4,20.3,"Consumer"
"306","OL-306","XP-306","EY-00306","LP-306",5,104.8,"Consumer"
"307","CP-307","OL-307","LE-00307","MZ-307",5,32,"Corporate"
"308","AP-308","AP-308","ON-00308","LP-308",4,97.2,"Consumer"
"309","PQ-309","PQ-309","CH-00309","AX-309",2,32.3,"Consumer"
"310","PQ-310","AP-310","LL-00310","LM-310",4,19.1,"Corporate"
"311","XP-311","RS-311","CK-00311","DZ-311",2,155,"Consumer"
"312","OL-312","PQ-312","ON-00312","DZ-312",1,72,"Consumer"
"313","PZ-313","AB-313","NG-00313","OP-313",4,13.5,"Corporate"
"314","OL-314","RS-314","ED-00314","MZ-314",1,28.3,"Corporate"
"315","CP-315","AP-315","EN-00315","AX-315",2,146.4,"Consumer"
"316","RS-316","AB-316","MS-00316","LP-316",1,54.4,"Home Office"
"317","AB-317","PQ-317","ER-00317","AX-317",3,124.7,"Consumer"
"318","XP-318","PZ-318","TO-00318","AX-318",3,23,"Corporate"
"319","PQ-319","PQ-319","NG-00319","DZ-319",2,26.2,"Corporate"
"320","CP-320","OL-320","ND-00320","LM-320",2,150,"Corporate"
"321","XP-321","RS-321","ON-00321","PQ-321",1,72,"Consumer"
"322","AB-322","CP-322","CH-00322","TA-322",3,54,"Consumer"
"323","PQ-323","XP-323","IG-00323","LM-323",3,23.7,"Consumer"
"324","CP-324","AP-324","RY-00324","TA-324",5,139.5,"Consumer"
"325","RS-325","CP-325","NS-00325","OP-325",4,54.4,"Consumer"
"326","PQ-326","RS-326","RN-00326","LP-326",1,128.9,"Consumer"
"327","OL-327","CP-327","KE-00327","DZ-327",5,31.2,"Home Office"
"328","CP-328","PQ-328","ER-00328","JK-328",2,35.6,"Consumer"
"329","PQ-329","XP-329","MS-00329","TA-329",4,140,"Consumer"
"330","AP-330","XP-330","RG-00330","OP-330",1,72,"Corporate"
"331","OL-331","AB-331","IE-00331","LP-331",1,54,"Home Office"
"332","RS-332","AP-332","DD-00332","LP-332",2,29.4,"Corporate"
"333","XP-333","AP-333","LE-00333","DZ-333",3,116.4,"Consumer"
"334","OL-334","AP-334","MS-00334","JK-334",2,57.2,"Consumer"
"335","PQ-335","PQ-335","LL-00335","LM-335",4,105.7,"Consumer"
"336","PQ-336","XP-336","WN-00336","LM-336",3,33.5,"Corporate"
"337","AP-337","PQ-337","EZ-00337","DF-337",3,30.9,"Consumer"
"338","PQ-338","PQ-338","ER-00338","LP-338",4,160,"Corporate"
"339","RS-339","AB-339","MS-00339","LM-339",2,36,"Corporate"
"340","XP-340","AP-340","LE-00340","TA-340",3,18,"Corporate"
"341","PZ-341","XP-341","ON-00341","LM-341",1,32.9,"Home Office"
"342","PZ-342","OL-342","MS-00342","AX-342",4,141.8,"Consumer"
"343","RS-343","PQ-343","RE-00343","OP-343",4,43.2,"Consumer"
"344","CP-344","AB-344","EL-00344","DZ-344",3,112,"Consumer"
"345","RS-345","CP-345","LE-00345","DZ-345",1,32.3,"Consumer"
"346","RS-346","OL-346","BS-00346","DF-346",4,28.6,"Consumer"
"347","OL-347","XP-347","LL-00347","DZ-347",3,162.5,"Consumer"
"348","PZ-348","AB-348","WN-00348","LP-348",2,36,"Corporate"
"349","PZ-349","XP-349","SH-00349","LP-349",2,27,"Consumer"
"350","OL-350","CP-350","LY-00350","LM-350",2,27.2,"Consumer"
"351","AP-351","AB-351","EL-00351","DZ-351",5,127.9,"Consumer"
"352","RS-352","CP-352","DO-00352","TA-352",4,43.2,"Corporate"
"353","XP-353","RS-353","LL-00353","TA-353",3,112,"Consumer"
"354","OL-354","PZ-354","IG-00354","JK-354",5,7.8,"Consumer"
"355","PZ-355","AB-355","ER-00355","DZ-355",1,34.5,"Corporate"
"356","PQ-356","PZ-356","RG-00356","LP-356",3,147.5,"Corporate"
"357","XP-357","PZ-357","DO-00357","OP-357",2,36,"Corporate"
"358","XP-358","RS-358","TH-00358","LP-358",5,10.8,"Consumer"
"359","XP-359","AB-359","ON-00359","OP-359",1,32.9,"Consumer"
"360","XP-360","AB-360","EY-00360","JK-360",1,148.7,"Home Office"
"361","CP-361","AB-361","ON-00361","OP-361",2,48.8,"Consumer"
"362","AP-362","XP-362","RE-00362","MZ-362",1,126.8,"Consumer"
"363","AP-363","AB-363","AB-00363","OP-363",5,7.8,"Home Office"
"364","PZ-364","CP-364","TE-00364","JK-364",4,23.8,"Consumer"
"365","XP-365","XP-365","AM-00365","LP-365",5,157.5,"Corporate"
"366","AB-366","AB-366","AN-00366","LP-366",2,36,"Consumer"
"367","AB-367","PZ-367","ES-00367","JK-367",3,18,"Home Office"
"368","AB-368","RS-368","KY-00368","PQ-368",5,11.2,"Corporate"
"369","RS-369","PQ-369","NI-00369","MZ-369",4,114,"Consumer"
"370","AP-370","OL-370","LL-00370","DF-370",5,39,"Consumer"
"371","OL-371","PZ-371","","TA-371",4,114.1,"Consumer"
"372","AB-372","AP-372","LD-00372","AX-372",1,35.8,"Consumer"
"373","AB-373","AP-373","AN-00373","AX-373",5,32.1,"Corporate"
"374","XP-374","CP-374","NG-00374","PQ-374",5,132.5,"Consumer"
"375","PQ-375","AB-375","ON-00375","DF-375",3,24,"Consumer"
